data,estado,regiao,consumo_diario,pred,doubl_days,smth_date,mobility,smth_mob,activity,ma_consumo,ma_pred,dif_baseline,ma_dif_baseline,PET_Phase,consumo_diario_acl,pred_acl,ma_consumo_acl,ma_pred_acl,dif_baseline_acl,ma_dif_baseline_acl
2019-08-12,Brasil,NA,62734.303805752,62326.988985816235,NA,NA,NA,NA,NA,60130.46363510681,61387.20431613128,-0.020472355681039323,-0.032851307389636084,NA,19590.363514044,19674.61542811488,19194.131455505667,19494.280459880512,-0.01539677265814227,-0.027356846242454706
2019-08-13,Brasil,NA,63805.906231753,63769.110694127005,NA,NA,NA,NA,NA,60600.89515181524,61393.255130150945,-0.0129063034148611,-0.029916687697540224,NA,20065.551854209,20332.44776082369,19247.38448759467,19495.524463487433,-0.012728048242943943,-0.0243812731320567
2019-08-14,Brasil,NA,62550.532106128005,64091.03579640857,NA,NA,NA,NA,NA,60779.407445869525,61395.58444604386,-0.010036177776202271,-0.025997820133165577,NA,20045.783155418998,20404.982172873228,19274.809992636812,19496.694541272685,-0.011380623939415182,-0.020992641717017372
2019-08-15,Brasil,NA,61195.95391816,63969.93086101798,NA,NA,NA,NA,NA,60610.73410062824,61388.460032547315,-0.012668927213791295,-0.022416414734835338,NA,19898.515349579,20411.31590178604,19246.72932014595,19497.80679832282,-0.012877216436387496,-0.018169100119220995
2019-08-16,Brasil,NA,61339.98923687667,63747.55124018869,NA,NA,NA,NA,NA,60371.699330914475,61390.78934844023,-0.016600047471968984,-0.019376567931703656,NA,19918.884222293666,20405.392756539775,19182.836217664477,19498.976876108074,-0.016213192130657972,-0.01627208949588985
2019-08-17,Brasil,NA,56696.737890381,58539.55923829768,NA,NA,NA,NA,NA,60143.17836784562,61393.118664333146,-0.020359615599943284,-0.017452485297541905,NA,18189.253541633,18816.596661927746,19115.034739429335,19500.14695389333,-0.019749195499632152,-0.015552182847801804
2019-08-18,Brasil,NA,52227.686435463,53323.9590457263,NA,NA,NA,NA,NA,60078.7299463591,61395.44798022607,-0.021446509100985032,-0.01635570517982733,NA,15866.527023630999,16463.86853968475,19082.125522972667,19501.317031678587,-0.021495548635252274,-0.015691513934633042
2019-08-19,Brasil,NA,61713.11715549,62343.29419706665,NA,NA,NA,NA,NA,59932.84613917881,61397.777296118984,-0.02385967736054797,-0.01683960827689999,NA,19235.155519284,19682.805972611666,19031.381523721237,19502.48710946384,-0.02415617982969943,-0.016942857816284063
2019-08-20,Brasil,NA,63032.519860927,63785.41590537743,NA,NA,NA,NA,NA,59822.36237191795,61400.1066120119,-0.02569611564461499,-0.018666724309721976,NA,19875.733383595,20340.638305320474,19004.26459934781,19503.657187249097,-0.02560507412054872,-0.018782432941656175
2019-08-21,Brasil,NA,62983.832296668,64107.341007658986,NA,NA,NA,NA,NA,59884.26239913795,61402.435927904815,-0.024724972321121183,-0.020765123530424676,NA,19955.107399876,20413.172717370016,18991.310919984524,19504.827265034353,-0.026327654076198505,-0.02091772296119665
2019-08-22,Brasil,NA,62715.837224371004,64052.412177994636,NA,NA,NA,NA,NA,60101.38858573952,61414.2189731872,-0.02137665200986835,-0.022009084215578543,NA,19875.487524828,20419.911191428655,18988.021230734383,19506.055163554727,-0.026557596011942144,-0.0228720629005616
2019-08-23,Brasil,NA,62381.729893507,63763.856451439104,NA,NA,NA,NA,NA,60250.20867954386,61416.548289080114,-0.018990640829348444,-0.022350597552347036,NA,19835.498887883,20413.58330103656,18976.109040104286,19507.22524133998,-0.027226640112308013,-0.02444541261222589
2019-08-24,Brasil,NA,56968.531292167,58555.8644495481,NA,NA,NA,NA,NA,60289.03630837043,61418.87760497303,-0.01839566824827679,-0.022070033644966108,NA,18151.52670925,18824.787206424535,18970.719492621,19508.395319125237,-0.02756125338392757,-0.025561420881410953
2019-08-25,Brasil,NA,51516.322227969,53340.26425697671,NA,NA,NA,NA,NA,60187.412850157,61421.206920865945,-0.020087427983929776,-0.021875879199672498,NA,15611.060705301,16472.05908418154,18934.224304288142,19509.565396910493,-0.029490205492402288,-0.026703514718146668
