data,consumo_diario,pred,ma_consumo,ma_pred,dif_baseline,dif_consumo,ma_dif_baseline,consumo_diario_acl,pred_acl,ma_consumo_acl,ma_pred_acl,dif_baseline_acl,dif_consumo_acl,ma_dif_baseline_acl,half_cum_deaths,doubl_days,mobility,smth_date,smth_mob,activity,PET_Phase
2018-09-24,65542.283316433,63179.90870147911,62552.32458427014,62188.92440180671,0.00584348717973445,363.40018246343243,-0.010051695707240765,19279.575062732998,18989.44030683945,19010.158702241573,18790.172270272666,0.01170752608356557,219.9864319689077,0.007262380127886418,NA,NA,NA,NA,NA,NA,NA
2018-09-25,67108.047604811,64698.45862823906,63032.80242036314,62189.727910193666,0.013556491377272726,843.0745101694774,-0.005409315572929165,20050.526687611,19698.924500807163,19056.72948057743,18791.297583131563,0.01412525645297303,265.4318974458656,0.008770664848578687,NA,NA,NA,NA,NA,NA,NA
2018-09-26,67621.598477605,65077.5934795971,63406.544064144,62190.53141858062,0.01955301905010049,1216.01264556338,-2.7114753432606106e-4,19959.418176805,19789.345076821515,19057.45522851543,18792.42289599046,0.014103148593017095,265.0323325249701,0.010007458871617646,NA,NA,NA,NA,NA,NA,NA
2018-09-27,67292.967565121,64897.66982121855,63903.68324736985,62283.66387476088,0.02601034158598125,1620.019372608971,0.0057094445273364845,19837.432022021,19732.103738169553,19095.289145612714,18829.432368023838,0.014119213600955657,265.85677758887687,0.01128894739527096,NA,NA,NA,NA,NA,NA,NA
2018-09-28,66088.868394866,64573.571221617705,64123.33938419857,62284.467383147836,0.029523765367354987,1838.8720010507313,0.01180543146924271,19664.608315866,19730.866814768386,19059.029609884285,18830.557680882728,0.012133041032210483,228.47192900155642,0.012042908679790163,NA,NA,NA,NA,NA,NA,NA
2018-09-29,60915.022630191,59347.74583000085,64239.02072252157,62285.27089153479,0.031367766456199445,1953.7498309867806,0.017529417770882138,18278.310527591002,18105.74821516475,19025.847566521574,18831.68299374163,0.010310526831004495,194.16457277994414,0.01234698717116016,NA,NA,NA,NA,NA,NA,NA
2018-09-30,54851.509008728,54227.57311729986,64202.89957110785,62286.074399921745,0.03077453812354109,1916.8251711861085,0.022375629877169206,15669.473500528,15783.229493632876,18962.763470450715,18832.808306600527,0.006900466554668874,129.9551638501871,0.011914168449770744,NA,NA,NA,NA,NA,NA,NA
2018-10-01,64668.735217971,64751.59976040335,64078.10698561329,62510.60169405378,0.025075831124316536,1567.505291559508,0.025123107583538074,18998.563868171,19337.709478874625,18922.619014084717,18882.561045462695,0.0021214266711796575,40.0579686220226,0.010544725676572756,NA,NA,NA,NA,NA,NA,NA
2018-10-02,67050.386522877,66270.1496871633,64069.86968819414,62735.12898818582,0.02127581024436376,1334.7407000083258,0.026225867421693937,19748.121343877,20047.193672842342,18879.418250694143,18932.313784324862,-0.002793928636156148,-52.895533630719,0.008127699235268588,NA,NA,NA,NA,NA,NA,NA
2018-10-03,67792.767952831,66574.49159426168,64094.32247036928,62948.97157599504,0.01819491034879766,1145.3508943742418,0.02603185189293639,19712.110092031002,20127.753044174664,18844.088524297862,18980.65777966103,-0.0071951803224390674,-136.56925536316703,0.0050850808187748505,NA,NA,NA,NA,NA,NA,NA
